,signal,bat_id_1,bat_id_2,feeder,pump,condition
05-11-2019-23:38:50,,,,no_bat,,L reward
05-11-2019-23:38:51,,,,no_bat,,L reward
05-11-2019-23:38:52,,,,no_bat,,L reward
05-11-2019-23:38:53,,,,no_bat,,L reward
05-11-2019-23:38:54,,,,no_bat,,L reward
05-11-2019-23:38:55,,,,no_bat,,L reward
05-11-2019-23:38:56,,,,no_bat,,L reward
05-11-2019-23:38:57,,,,no_bat,,L reward
05-11-2019-23:38:58,,,,no_bat,,L reward
05-11-2019-23:38:59,,,,no_bat,,L reward
05-11-2019-23:39:00,,,,no_bat,,L reward
05-11-2019-23:39:01,,,,no_bat,,L reward
05-11-2019-23:39:02,,,,no_bat,,L reward
05-11-2019-23:39:03,,,,no_bat,,L reward
